person_id,age,education_num,hours_per_week,capital_gain,capital_loss,occupation,native_country,workclass,marital_status,relationship,class,split,case_review_note,post_adjudication_risk_code,kyc_name_mismatch_flag,kyc_address_mismatch_flag,id_document_expired_flag,manual_review_required_flag,watchlist_screening_hit_flag,email_bounce_last_30d_flag,device_risk_high_flag,duplicate_application_flag,income_proof_unreadable_flag,extract_country_code,dataset_schema_version,constant_one,db_row_surrogate_key,db_source_table,db_etl_batch_id,db_loaded_at_utc,dgp_regime,record_written_at
19,65,2,51,0.0,1887.0,Other-service,Canada,Private,Separated,Husband,<=50K,train,employment verification is complete and documents are valid.,0.002,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000018,income_application_snapshot,batch_2026_02_19,2026-02-19 00:36:50,production_dgp,2026-01-02 13:05:15
20,43,5,16,7500.0,0.0,Other-service,Germany,Local-gov,Separated,Unmarried,<=50K,train,income statement was received and review status is approved.,0.001,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000019,income_application_snapshot,batch_2026_02_19,2026-02-19 00:17:58,training_dgp,2026-01-30 12:38:52
21,46,12,53,500.0,0.0,Prof-specialty,Philippines,Private,Never-married,Not-in-family,<=50K,train,identity check is complete because documents are clear.,0.043,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000020,income_application_snapshot,batch_2026_02_19,2026-02-19 00:17:17,production_dgp,2026-01-20 06:53:50
22,39,9,39,0.0,1977.0,Craft-repair,Canada,Self-emp-not-inc,Separated,Unmarried,<=50K,train,identity check is complete because documents are clear.,0.011,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000021,income_application_snapshot,batch_2026_02_19,2026-02-19 00:39:13,production_dgp,2026-01-16 00:32:49
23,28,12,61,7500.0,0.0,Exec-managerial,Mexico,Self-emp-not-inc,Separated,Other-relative,>50K,train,application status is approved and verification is complete.,1.053,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000022,income_application_snapshot,batch_2026_02_19,2026-02-19 00:11:53,training_dgp,2026-01-26 19:31:28
24,70,8,52,0.0,2415.0,Prof-specialty,United-States,Self-emp-not-inc,Divorced,Wife,<=50K,train,identity check is complete because documents are clear.,0.016,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000023,income_application_snapshot,batch_2026_02_19,2026-02-19 00:36:32,production_dgp,2026-01-29 00:16:03
25,62,13,19,0.0,,Adm-clerical,Canada,Federal-gov,Never-married,Wife,<=50K,train,application status is approved and verification is complete.,-0.013,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000024,income_application_snapshot,batch_2026_02_19,2026-02-19 00:24:44,training_dgp,2026-01-03 16:06:19
26,54,14,63,7500.0,0.0,Craft-repair,India,Local-gov,Divorced,Husband,>50K,train,application status is approved and verification is complete.,1.025,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000025,income_application_snapshot,batch_2026_02_19,2026-02-19 00:47:04,production_dgp,2026-01-04 19:37:41
27,115,15,18,0.0,0.0,Other-service,Canada,Self-emp-not-inc,Married-civ-spouse,Husband,>50K,train,identity check is complete because documents are clear.,0.998,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000026,income_application_snapshot,batch_2026_02_19,2026-02-19 00:17:02,training_dgp,2026-02-01 14:20:30
28,64,2,31,500.0,0.0,Other-service,Germany,Self-emp-not-inc,Divorced,Husband,<=50K,train,address verification is complete and customer information is consistent.,0.03,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000027,income_application_snapshot,batch_2026_02_19,2026-02-19 00:20:53,production_dgp,2026-02-05 06:41:23
29,49,9,26,2500.0,1977.0,Other-service,mexico,Local-gov,Never-married,Not-in-family,<=50K,test,identity check is complete because documents are clear.,-0.014,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000028,income_application_snapshot,batch_2026_02_19,2026-02-19 00:18:27,production_dgp,2026-01-14 10:19:18
30,43,2,68,0.0,0.0,Craft-repair,Germany,Self-emp-not-inc,Never-married,Unmarried,<=50K,train,employment verification is complete and documents are valid.,-0.032,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000029,income_application_snapshot,batch_2026_02_19,2026-02-19 00:05:18,production_dgp,2026-01-21 05:51:52
31,43,4,23,0.0,2415.0,Prof-specialty,Philippines,Federal-gov,Never-married,Wife,<=50K,train,address verification is complete and customer information is consistent.,0.002,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000030,income_application_snapshot,batch_2026_02_19,2026-02-19 00:16:17,production_dgp,2026-01-26 04:32:01
32,30,5,61,7500.0,1887.0,Exec-managerial,Mexico,Self-emp-not-inc,Divorced,Not-in-family,<=50K,train,income statement was received and review status is approved.,0.029,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000031,income_application_snapshot,batch_2026_02_19,2026-02-19 00:44:05,production_dgp,2026-01-05 15:46:19
33,23,10,27h,0.0,0.0,Adm-clerical,Philippines,State-gov,Married-civ-spouse,Wife,<=50K,train,address verification is complete and customer information is consistent.,-0.013,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000032,income_application_snapshot,batch_2026_02_19,2026-02-19 00:57:01,training_dgp,2026-01-02 17:59:10
34,49,7,50,0.0,2415.0,Sales,Philippines,Local-gov,Married-civ-spouse,Unmarried,<=50K,train,address verification is complete and customer information is consistent.,0.012,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000033,income_application_snapshot,batch_2026_02_19,2026-02-19 00:41:08,production_dgp,2026-01-09 00:00:55
35,68,13,19,2500.0,0.0,Exec-managerial,india,Self-emp-not-inc,Never-married,Unmarried,>50K,train,employment verification is complete and documents are valid.,0.987,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000034,income_application_snapshot,batch_2026_02_19,2026-02-19 00:28:53,production_dgp,2026-01-06 07:26:19
36,21,5,36,0.0,0.0,Craft-repair,Germany,Local-gov,Divorced,Unmarried,<=50K,train,application status is approved and verification is complete.,0.019,1,0,0,0,0,0,0,0,0,US,v1.0,1,10000035,income_application_snapshot,batch_2026_02_19,2026-02-19 00:55:30,production_dgp,2026-01-31 22:42:10
37,66,10,49,0.0,0.0,Craft-repair,Philippines,Private,Never-married,Not-in-family,<=50K,train,income statement was received and review status is approved.,-0.007,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000036,income_application_snapshot,batch_2026_02_19,2026-02-19 00:24:53,training_dgp,2026-01-15 19:29:15
38,65,12,54,0.0,1887.0,Exec-managerial,Philippines,Local-gov,Divorced,Other-relative,>50K,train,income statement was received and review status is approved.,1.005,0,0,0,0,0,1,0,0,0,US,v1.0,1,10000037,income_application_snapshot,batch_2026_02_19,2026-02-19 00:16:05,training_dgp,2026-01-29 05:43:06
39,33,15,62,15000.0,,Prof-specialty,India,State-gov,Married-civ-spouse,Husband,>50K,train,application status is approved and verification is complete.,0.993,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000038,income_application_snapshot,batch_2026_02_19,2026-02-19 00:42:19,training_dgp,2026-01-14 05:05:41
40,54,4,59,2500.0,1887.0,Craft-repair,Canada,Local-gov,Divorced,Own-child,<=50K,test,identity check are complete becuase documents are clear.,-0.015,0,1,0,0,0,0,0,0,0,US,v1.0,1,10000039,income_application_snapshot,batch_2026_02_19,2026-02-19 00:11:27,production_dgp,2026-01-24 21:33:18
41,27,12,43,2500.0,0.0,Other-service,Canada,Private,Divorced,Husband,<=50K,train,identity check is complete because documents are clear.,-0.038,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000040,income_application_snapshot,batch_2026_02_19,2026-02-19 00:13:53,training_dgp,2026-01-29 03:47:04
42,61,2,31,2500.0,2415.0,Adm-clerical,Republic of India,Local-gov,Never-married,Unmarried,<=50K,train,income statement was received and review status is approved.,-0.026,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000041,income_application_snapshot,batch_2026_02_19,2026-02-19 00:30:36,production_dgp,2026-01-21 03:45:47
43,57,9,29,15000.0,1887.0,Prof-specialty,Canada,Private,Married-civ-spouse,Husband,>50K,train,income statement was received and review status is approved.,0.994,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000042,income_application_snapshot,batch_2026_02_19,2026-02-19 00:35:10,training_dgp,2026-01-30 16:07:51
44,38,7,,7500.0,1977.0,Prof-specialty,Philippines,Self-emp-not-inc,Separated,Own-child,<=50K,train,income statement was received and review status is approved.,0.009,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000043,income_application_snapshot,batch_2026_02_19,2026-02-19 00:09:01,production_dgp,2026-01-10 23:35:41
45,21,15,48,0.0,0.0,Adm-clerical,United-States,State-gov,Never-married,Wife,>50K,train,address verification is complete and customer information is consistent.,1.037,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000044,income_application_snapshot,batch_2026_02_19,2026-02-19 00:36:16,production_dgp,2026-02-01 14:08:22
46,73,12,64,500.0,,Sales,Philippines,Federal-gov,Divorced,Unmarried,>50K,train,application status is approved and verification is complete.,0.99,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000045,income_application_snapshot,batch_2026_02_19,2026-02-19 00:42:08,training_dgp,2026-01-12 17:05:48
47,43,14,38,500.0,,Sales,India,Federal-gov,Separated,Own-child,>50K,train,income statement was received and review status is approved.,0.987,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000046,income_application_snapshot,batch_2026_02_19,2026-02-19 00:35:08,training_dgp,2026-01-04 20:17:45
48,68,13,41,0.0,1977.0,Exec-managerial,Germany,Local-gov,Married-civ-spouse,Not-in-family,<=50K,train,income statement was received and review status is approved.,-0.026,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000047,income_application_snapshot,batch_2026_02_19,2026-02-19 00:17:22,training_dgp,2026-02-09 12:12:38
49,56,7,60,15000.0,0.0,Other-service,United-States,Self-emp-not-inc,Separated,Other-relative,>50K,train,address verification is complete and customer information is consistent.,1.017,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000048,income_application_snapshot,batch_2026_02_19,2026-02-19 00:02:34,production_dgp,2026-02-02 23:48:10
50,62,12,54,0.0,2415.0,Other-service,Philippines,Federal-gov,Never-married,Other-relative,>50K,train,address verification is complete and customer information is consistent.,1.011,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000049,income_application_snapshot,batch_2026_02_19,2026-02-19 00:03:44,training_dgp,2026-01-22 20:20:54
51,61,1,26,7500.0,0.0,Prof-specialty,India,Self-emp-not-inc,Divorced,Own-child,<=50K,train,application status is approved and verification is complete.,0.009,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000050,income_application_snapshot,batch_2026_02_19,2026-02-19 00:28:15,training_dgp,2026-02-07 22:11:13
52,29,9,43,0.0,2415.0,Sales,Philippines,Local-gov,Married-civ-spouse,Own-child,<=50K,train,identity check is complete because documents are clear.,0.007,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000051,income_application_snapshot,batch_2026_02_19,2026-02-19 00:49:40,training_dgp,2026-01-27 09:05:22
53,38,1,26,2500.0,1887.0,Other-service,India,Private,Divorced,Wife,<=50K,train,identity check is complete because documents are clear.,-0.007,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000052,income_application_snapshot,batch_2026_02_19,2026-02-19 00:06:32,production_dgp,2026-01-13 12:41:55
54,44,11,56,7500.0,1887.0,Other-service,Germany,Self-emp-not-inc,Never-married,Unmarried,<=50K,train,identity check is complete because documents are clear.,0.027,0,0,0,0,0,1,0,0,0,US,v1.0,1,10000053,income_application_snapshot,batch_2026_02_19,2026-02-19 00:57:10,training_dgp,2026-01-09 03:52:24
55,46,15,16,500.0,0.0,Other-service,Canada,Local-gov,Married-civ-spouse,Other-relative,>50K,train,address verification is complete and customer information is consistent.,0.984,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000054,income_application_snapshot,batch_2026_02_19,2026-02-19 00:52:25,production_dgp,2026-01-16 06:57:35
56,20,11,60,0.0,0.0,Sales,mexico,State-gov,Divorced,Not-in-family,<=50K,train,employment verification is complete and documents are valid.,-0.009,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000055,income_application_snapshot,batch_2026_02_19,2026-02-19 00:58:57,training_dgp,2026-01-04 08:54:09
57,49,13,,0.0,1977.0,Other-service,Mexico,Federal-gov,Separated,Not-in-family,>50K,train,income statement was received and review status is approved.,0.98,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000056,income_application_snapshot,batch_2026_02_19,2026-02-19 00:31:09,production_dgp,2026-01-09 08:51:02
58,26,4,16,2500.0,1887.0,Adm-clerical,Canada,Private,Never-married,Other-relative,<=50K,train,identity check is complete because documents are clear.,-0.003,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000057,income_application_snapshot,batch_2026_02_19,2026-02-19 00:00:36,training_dgp,2026-01-31 20:32:08
59,60,15,49,15000.0,0.0,Sales,Republic of India,Local-gov,Separated,Wife,>50K,test,employment verification is complete and documents are valid.,0.984,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000058,income_application_snapshot,batch_2026_02_19,2026-02-19 00:57:16,training_dgp,2026-01-23 23:29:56
60,56,9,19,2500.0,1887.0,policy_simulator,Canada,Federal-gov,Never-married,Husband,<=50K,test,employment verification is complete and documents are valid.,-0.013,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000059,income_application_snapshot,batch_2026_02_19,2026-02-19 00:14:00,production_dgp,2026-01-16 10:32:15
61,70,11,34h,0.0,1977.0,Craft-repair,Germany,Private,Widowed,Husband,>50K,train,employment verification is complete and documents are valid.,0.976,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000060,income_application_snapshot,batch_2026_02_19,2026-02-19 00:59:59,training_dgp,2026-01-28 08:12:37
62,60,12,33,7500.0,0.0,Other-service,Germany,Local-gov,Never-married,Not-in-family,>50K,test,employment verification is complete and documents are valid.,0.981,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000061,income_application_snapshot,batch_2026_02_19,2026-02-19 00:15:50,training_dgp,2026-01-17 06:00:53
63,38,10,43,500.0,1977.0,Adm-clerical,United-States,State-gov,Separated,Other-relative,>50K,train,income statement was received and review status is approved.,0.968,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000062,income_application_snapshot,batch_2026_02_19,2026-02-19 00:33:44,training_dgp,2026-01-12 06:14:17
64,73,5,65,0.0,2415.0,Other-service,India,Private,Never-married,Wife,>50K,test,income statement was received and review status is approved.,1.007,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000063,income_application_snapshot,batch_2026_02_19,2026-02-19 00:27:34,production_dgp,2026-01-10 15:41:57
65,41,10,40,0.0,0.0,Exec-managerial,United-States,State-gov,Divorced,Unmarried,<=50K,train,income statement was received and review status is approved.,-0.017,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000064,income_application_snapshot,batch_2026_02_19,2026-02-19 00:46:47,production_dgp,2026-02-08 20:02:40
66,36,10,36,0.0,0.0,Other-service,Canada,Local-gov,Married-civ-spouse,Other-relative,<=50K,train,employment verification is complete and documents are valid.,0.032,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000065,income_application_snapshot,batch_2026_02_19,2026-02-19 00:56:31,production_dgp,2026-02-01 15:37:29
67,69,13,20,15000.0,2415.0,Other-service,Canada,State-gov,Married-civ-spouse,Other-relative,<=50K,train,employment verification is complete and documents are valid.,0.019,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000066,income_application_snapshot,batch_2026_02_19,2026-02-19 00:40:04,production_dgp,2026-01-18 00:45:48
68,39,8,63,15000.0,2415.0,Adm-clerical,Philippines,State-gov,Widowed,Unmarried,<=50K,train,identity check is complete because documents are clear.,0.001,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000067,income_application_snapshot,batch_2026_02_19,2026-02-19 00:33:22,training_dgp,2026-01-12 22:28:47
69,22,8,32,0.0,0.0,Exec-managerial,IN,Private,Married-civ-spouse,Own-child,<=50K,train,address verification is complete and customer information is consistent.,0.011,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000068,income_application_snapshot,batch_2026_02_19,2026-02-19 00:27:06,production_dgp,2026-01-04 21:23:50
70,44,8,40,2500.0,0.0,Other-service,India,Private,Divorced,Not-in-family,<=50K,train,employment verification is complete and documents are valid.,0.017,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000069,income_application_snapshot,batch_2026_02_19,2026-02-19 00:24:22,production_dgp,2026-01-31 21:44:16
71,63,2,20,0.0,2415.0,Craft-repair,Canada,Self-emp-not-inc,Divorced,Not-in-family,<=50K,test,address verification is complete and customer information is consistent.,-0.01,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000070,income_application_snapshot,batch_2026_02_19,2026-02-19 00:14:35,production_dgp,2026-01-31 20:16:48
72,28,2,30,500.0,0.0,Craft-repair,United-States,Self-emp-not-inc,Separated,Own-child,<=50K,test,address verification is complete and customer information is consistent.,-0.004,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000071,income_application_snapshot,batch_2026_02_19,2026-02-19 00:46:23,production_dgp,2026-01-20 07:02:31
73,44,1,45,0.0,0.0,Adm-clerical,united states,Self-emp-not-inc,Married-civ-spouse,Unmarried,<=50K,train,address verification is complete and customer information is consistent.,0.022,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000072,income_application_snapshot,batch_2026_02_19,2026-02-19 00:07:44,training_dgp,2026-01-24 06:49:04
74,25,10,64,7500.0,1887.0,Other-service,Germany,Federal-gov,Married-civ-spouse,Unmarried,>50K,train,employment verification is complete and documents are valid.,1.023,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000073,income_application_snapshot,batch_2026_02_19,2026-02-19 00:06:20,training_dgp,2026-01-31 02:53:09
75,57,7,33,0.0,1887.0,Adm-clerical,Mexico,State-gov,Never-married,Unmarried,<=50K,train,address verification is complete and customer information is consistent.,-0.015,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000074,income_application_snapshot,batch_2026_02_19,2026-02-19 00:04:40,production_dgp,2026-01-23 17:58:50
76,45,13,45,15000.0,1887.0,Exec-managerial,India,Self-emp-not-inc,Widowed,Not-in-family,>50K,train,employment verification is complete and documents are valid.,1.046,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000075,income_application_snapshot,batch_2026_02_19,2026-02-19 00:26:01,production_dgp,2026-01-20 20:33:02
77,36,11,63,0.0,0.0,Craft-repair,Philippines,State-gov,Never-married,Not-in-family,<=50K,train,income statement was received and review status is approved.,-0.027,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000076,income_application_snapshot,batch_2026_02_19,2026-02-19 00:24:27,training_dgp,2026-01-11 11:30:34
78,30,3,34,0.0,2415.0,Other-service,Mexico,Private,Divorced,Wife,<=50K,train,income statement was received and review status is approved.,-0.046,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000077,income_application_snapshot,batch_2026_02_19,2026-02-19 00:55:57,training_dgp,2026-01-21 03:13:40
79,50,2,31,15000.0,1887.0,Craft-repair,Philippines,Private,Divorced,Own-child,<=50K,train,identity check is complete because documents are clear.,0.034,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000078,income_application_snapshot,batch_2026_02_19,2026-02-19 00:34:13,production_dgp,2026-01-01 21:59:09
80,56,6,17h,15000.0,1887.0,Prof-specialty,Canada,Private,Divorced,Unmarried,<=50K,train,identity check is complete because documents are clear.,0.015,0,0,0,0,0,0,0,1,0,US,v1.0,1,10000079,income_application_snapshot,batch_2026_02_19,2026-02-19 00:00:12,training_dgp,2026-01-23 20:25:46
81,71,14,64,0.0,2415.0,Sales,Mexico,Local-gov,Widowed,Unmarried,>50K,train,address verification is complete and customer information is consistent.,1.004,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000080,income_application_snapshot,batch_2026_02_19,2026-02-19 00:59:33,training_dgp,2026-01-16 11:10:04
82,State-gov,1,21,0.0,0.0,Not-in-family,Philippines,Separated,Exec-managerial,42,<=50K,train,application status is approved and verification is complete.,0.016,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000081,income_application_snapshot,batch_2026_02_19,2026-02-19 00:19:29,training_dgp,2026-01-01 22:01:15
83,27,3,26,7500.0,1977.0,Exec-managerial,Canada,Local-gov,Divorced,Not-in-family,<=50K,train,application status is approved and verification is complete.,-0.014,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000082,income_application_snapshot,batch_2026_02_19,2026-02-19 00:40:21,production_dgp,2026-01-30 19:18:22
84,65,1,22,15000.0,2415.0,Other-service,Mexico,Local-gov,Never-married,Wife,<=50K,test,income statement was received and review status is approved.,-0.035,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000083,income_application_snapshot,batch_2026_02_19,2026-02-19 00:22:13,production_dgp,2026-01-12 20:03:13
85,53,7,53,500.0,1887.0,Craft-repair,India,Private,Never-married,Own-child,<=50K,test,income statement was received and review status is approved.,-0.009,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000084,income_application_snapshot,batch_2026_02_19,2026-02-19 00:43:45,production_dgp,2026-02-01 19:52:59
86,57,15,35,0.0,1887.0,Sales,India,State-gov,Widowed,Not-in-family,>50K,train,income statement was received and review status is approved.,0.986,0,0,0,0,0,1,0,0,0,US,v1.0,1,10000085,income_application_snapshot,batch_2026_02_19,2026-02-19 00:06:46,production_dgp,2026-01-07 08:16:15
87,23,11,53,0.0,0.0,Craft-repair,Philippines,Local-gov,Married-civ-spouse,Husband,>50K,test,identity check is complete because documents are clear.,0.98,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000086,income_application_snapshot,batch_2026_02_19,2026-02-19 00:47:52,production_dgp,2026-02-04 07:34:00
88,35,8,48,0.0,0.0,Exec-managerial,India,Federal-gov,Married-civ-spouse,Husband,<=50K,train,employment verification is complete and documents are valid.,-0.012,0,0,0,0,0,0,0,0,0,US,v1.0,1,10000087,income_application_snapshot,batch_2026_02_19,2026-02-19 00:01:34,training_dgp,2026-02-03 03:59:27
