store_id,date,inventory_units,promotion_discount_pct,store_traffic_index,sales,demand_pressure_index,inventory_after_restock,full_price_pct,ops_shift_note,macro_cost_index,legacy_channel_share,store_type,manual_override_flag,workflow_route_code
54,2023-01-01,351,,0.8966,214.0,0.9572,634.0,,shift handover is complete and stock information is consistent.,103.18,72.41,,0,AUTO_PASS
55,2023-01-01,638,4.32,1.0644,255.0,0.9994,413.0,95.68,inventory update is complete and promotion status is approved.,103.24,72.38,,0,AUTO_PASS
56,2023-01-01,444,14.66,,341.0,1.0201,571.0,85.34,shift handover is complete and stock information is consistent.,103.3,72.35,,0,AUTO_PASS
57,2023-01-01,571,7.22,0.9908,332.0,1.0026,413.0,92.78,shift handover is complete and stock information is consistent.,103.36,72.32,,0,AUTO_PASS
58,2023-01-01,393,27.79,0.9885,374.0,1.0034,653.0,72.21000000000001,manual check are complete and discount application is confirmed.,103.42,72.29,,1,MANUAL_REVIEW
59,2023-01-01,422,9.72,0.9218,159.0,0.9949,527.0,90.28,inventory update is complete and promotion status is approved.,103.48,72.26,,0,AUTO_PASS
60,2023-01-01,371,,0.9315,266.0,0.973,650.0,,pricing verification was completed because store traffic is stable.,103.54,72.23,,0,AUTO_PASS
1,2023-01-02,338,33.63,0.9554,317.0,1.0105,216.0,66.37,pricing verfication were completed because store traffic is stable.,103.6,72.2,,0,AUTO_PASS
2,2023-01-02,451,11.32,0.9072,269.0,0.9786,329.0,88.68,inventory update is complete and promotion status is approved.,103.66,72.17,,0,AUTO_PASS
3,2023-01-02,564,10.98,1.0549,217.0,1.0083,651.0,89.02,manual check is complete and discount application is confirmed.,103.72,72.14,,0,AUTO_PASS
4,2023-01-02,628,13.35,1.0017,189.0,0.932,570.0,86.65,shift handover is complete and stock information is consistent.,103.78,72.11,,0,AUTO_PASS
5,2023-01-02,523,19.06,1.1904,284.0,0.9924,465.0,80.94,inventory update is complete and promotion status is approved.,103.84,72.08,,0,AUTO_PASS
6,2023-01-02,320,25.72,1.0181,239.0,1.0001,293.0,74.28,manual check is complete and discount application is confirmed.,103.9,72.05,,0,AUTO_PASS
7,2023-01-02,441,10.64,1.0461,166.0,1.0203,489.0,89.36,shift handover is complete and stock information is consistent.,103.96,72.02,,0,AUTO_PASS
8,2023-01-02,380,,1.3166,214.0,1.0181,543.0,,inventory update is complete and promotion status is approved.,104.02,71.99,,0,AUTO_PASS
9,2023-01-02,597,15.85,0.9185,216.0,0.9984,362.0,84.15,manual check is complete and discount application is confirmed.,104.08,71.96,,0,AUTO_PASS
10,2023-01-02,328,37.47,1.0456,278.0,1.0215,289.0,62.53,shift handover is complete and stock information is consistent.,104.14,71.93,,0,AUTO_PASS
11,2023-01-02,634,1.36,1.1302,139.0,0.9992,664.0,98.64,shift handover is complete and stock information is consistent.,104.2,71.9,,0,AUTO_PASS
12,2023-01-02,470,27.36,1.0608,323.0,0.9988,490.0,72.64,pricing verification was completed because store traffic is stable.,104.26,71.87,,0,AUTO_PASS
13,2023-01-02,501,51.0,1.0723,355.0,0.9981,586.0,49.0,manual check is complete and discount application is confirmed.,104.32,71.84,,0,AUTO_PASS
14,2023-01-02,558,15.08,0.9869,245.0,0.9836,687.0,84.92,shift handover is complete and stock information is consistent.,104.38,71.81,,0,AUTO_PASS
15,2023-01-02,478,20.65,1.0125,218.0,0.9923,516.0,79.35,manual check is complete and discount application is confirmed.,104.44,71.78,,0,AUTO_PASS
16,2023-01-02,541,33.97,0.9432,188.0,0.9963,630.0,66.03,pricing verification was completed because store traffic is stable.,104.5,71.75,,0,AUTO_PASS
17,2023-01-02,548,5.62,1.068,215.0,1.0016,540.0,94.38,shift handover is complete and stock information is consistent.,104.56,71.72,,0,AUTO_PASS
18,2023-01-02,600,15.84,1.132,365.0,0.9596,555.0,84.16,inventory update is complete and promotion status is approved.,104.62,71.69,,0,AUTO_PASS
19,2023-01-02,502,8.02,0.9445,266.0,0.9789,476.0,91.98,pricing verification was completed because store traffic is stable.,104.68,71.66,,0,AUTO_PASS
20,2023-01-02,569,7.71,0.9519,211.0,1.0005,424.0,92.29,pricing verification was completed because store traffic is stable.,104.74,71.63,,0,AUTO_PASS
21,2023-01-02,459,61.36,1.2668,256.0,0.9847,385.0,38.64,shift handover is complete and stock information is consistent.,104.8,71.6,,0,AUTO_PASS
22,2023-01-02,424,10.8,1.0315,257.0,1.0005,285.0,89.2,manual check is complete and discount application is confirmed.,104.86,71.57,,0,AUTO_PASS
23,2023-01-02,700,1.16,0.9723,74.0,1.005,524.0,98.84,pricing verfication were completed because store traffic is stable.,104.92,71.54,,0,AUTO_PASS
24,2023-01-02,554,6.78,0.9063,210.0,0.9851,776.0,93.22,pricing verification was completed because store traffic is stable.,104.98,71.51,,0,AUTO_PASS
25,2023-01-02,482,23.43,0.9506,246.0,0.985,340.0,76.57,manual check is complete and discount application is confirmed.,105.04,71.48,,0,AUTO_PASS
26,2023-01-02,507,49.45,1.0464,324.0,1.023,378.0,50.55,manual check is complete and discount application is confirmed.,105.1,71.45,,0,AUTO_PASS
27,2023-01-02,482,2.63,0.8673,238.0,1.0036,399.0,97.37,shift handover is complete and stock information is consistent.,105.16,71.42,,0,AUTO_PASS
28,2023-01-02,371,23.89,0.8479,235.0,1.0154,452.0,76.11,manual check is complete and discount application is confirmed.,105.22,71.39,,0,AUTO_PASS
29,2023-01-02,571,16.22,1.0414,215.0,1.0276,283.0,83.78,inventory update is complete and promotion status is approved.,105.28,71.36,,0,AUTO_PASS
30,2023-01-02,443,22.94,0.8618,204.0,0.9966,486.0,77.06,shift handover is complete and stock information is consistent.,105.34,71.33,,0,AUTO_PASS
31,2023-01-02,537,12.27,0.8622,99.0,1.009,493.0,87.73,inventory update is complete and promotion status is approved.,105.4,71.3,,0,AUTO_PASS
32,2023-01-02,599,36.82,0.8176,375.0,1.0002,319.0,63.18,manual check is complete and discount application is confirmed.,105.46,71.27,,1,MANUAL_REVIEW
33,2023-01-02,438,43.6,1.1064,306.0,1.0054,563.0,56.4,pricing verification was completed because store traffic is stable.,105.52,71.24,,0,AUTO_PASS
34,2023-01-02,455,8.17,1.0698,192.0,1.0023,537.0,91.83,pricing verification was completed because store traffic is stable.,105.58,71.21,,0,AUTO_PASS
35,2023-01-02,443,11.36,0.8823,323.0,0.9883,454.0,88.64,manual check are complete and discount application is confirmed.,105.64,71.18,,0,AUTO_PASS
36,2023-01-02,454,9.56,0.8287,207.0,0.9872,605.0,90.44,pricing verification was completed because store traffic is stable.,105.7,71.15,,0,AUTO_PASS
37,2023-01-02,282,12.21,1.0021,354.0,1.0519,497.0,87.78999999999999,pricing verification was completed because store traffic is stable.,105.76,71.12,,0,AUTO_PASS
38,2023-01-02,495,15.03,1.0365,197.0,0.9881,645.0,84.97,inventory update is complete and promotion status is approved.,105.82,71.09,,0,AUTO_PASS
39,2023-01-02,522,16.86,1.1007,197.0,0.9987,440.0,83.14,inventory update is complete and promotion status is aproved.,105.88,71.06,,0,AUTO_PASS
40,2023-01-02,616,15.11,0.9357,194.0,0.995,518.0,84.89,manual check is complete and discount application is confirmed.,105.94,71.03,,0,AUTO_PASS
41,2023-01-02,343,14.32,1.0118,285.0,0.9914,441.0,85.68,inventory update is complete and promotion status is approved.,106.0,71.0,,0,AUTO_PASS
42,2023-01-02,593,27.63,0.7448,208.0,0.9877,773.0,72.37,inventory update is complete and promotion status is approved.,106.06,70.97,,0,AUTO_PASS
43,2023-01-02,497,11.27,1.0658,291.0,1.0043,490.0,88.73,shift handover is complete and stock information is consistent.,106.12,70.94,,0,AUTO_PASS
44,2023-01-02,456,7.15,0.8748,205.0,1.0098,484.0,92.85,shift handover is complete and stock information is consistent.,106.18,70.91,,0,AUTO_PASS
45,2023-01-02,463,8.64,0.9681,192.0,0.9839,599.0,91.36,pricing verification was completed because store traffic is stable.,106.24,70.88,,0,AUTO_PASS
46,2023-01-02,436,25.52,1.1223,320.0,1.0324,567.0,74.48,manual check is complete and discount application is confirmed.,106.3,70.85,,0,AUTO_PASS
47,2023-01-02,510,40.21,1.1576,177.0,1.0069,259.0,59.79,inventory update is complete and promotion status is approved.,106.36,70.82,,0,AUTO_PASS
48,2023-01-02,509,12.39,1.0585,284.0,1.0102,295.0,87.61,inventory update is complete and promotion status is approved.,106.42,70.79,,0,AUTO_PASS
49,2023-01-02,342,162.39,1.0193,258.0,1.0138,567.0,-62.389999999999986,manual check is complete and discount application is confirmed.,106.48,70.76,,0,AUTO_PASS
50,2023-01-02,391,9.08,1.108,154.0,0.9947,447.0,90.92,pricing verification was completed because store traffic is stable.,106.54,70.73,,0,AUTO_PASS
51,2023-01-02,394,16.95,1.0058,292.0,1.0045,700.0,83.05,manual check is complete and discount application is confirmed.,106.6,70.7,,0,AUTO_PASS
52,2023-01-02,364,9.43,0.9662,210.0,1.0124,641.0,90.57,inventory update is complete and promotion status is approved.,106.66,70.67,,0,AUTO_PASS
53,2023-01-02,552,12.81,1.0655,282.0,0.9909,542.0,87.19,inventory update is complete and promotion status is approved.,106.72,70.64,,0,AUTO_PASS
54,2023-01-02,634,5.28,0.9279,192.0,0.9969,619.0,94.72,manual check is complete and discount application is confirmed.,106.78,70.61,,0,AUTO_PASS
55,2023-01-02,413,3.08,0.975,171.0,0.9821,392.0,96.92,pricing verification was completed because store traffic is stable.,106.84,70.58,,0,AUTO_PASS
56,2023-01-02,571,28.86,1.238,354.0,0.9485,691.0,71.14,inventory update is complete and promotion status is approved.,106.9,70.55,,0,AUTO_PASS
57,2023-01-02,413,37.71,0.9886,323.0,0.9686,516.0,62.29,inventory update is complete and promotion status is approved.,106.96,70.52,,0,AUTO_PASS
58,2023-01-02,653,17.5,0.8738,277.0,0.9972,453.0,82.5,shift handover is complete and stock information is consistent.,107.02,70.49,,0,AUTO_PASS
59,2023-01-02,527,2.2,0.9145,149.0,0.9722,478.0,97.8,pricing verification was completed because store traffic is stable.,107.08,70.46,,0,AUTO_PASS
60,2023-01-02,650,37.66,1.1984,368.0,1.0495,550.0,62.34,inventory update is complete and promotion status is approved.,107.14,70.43,,0,AUTO_PASS
1,2023-01-03,216,36.26,1.0265,290.0,1.0069,433.0,63.74,pricing verification were completed becuase store traffic is stable.,107.2,70.4,,0,AUTO_PASS
2,2023-01-03,329,48.76,1.1484,,0.9625,574.0,51.24,pricing verification was completed because store traffic is stable.,107.26,70.37,,0,AUTO_PASS
3,2023-01-03,651,37.66,1.0629,305.0,1.0185,218.0,62.34,inventory update is complete and promotion status is approved.,107.32,70.34,,0,AUTO_PASS
4,2023-01-03,570,13.38,0.8176,153.0,1.0062,441.0,86.62,shift handover is complete and stock information is consistent.,107.38,70.31,,0,AUTO_PASS
5,2023-01-03,465,6.9,1.1371,251.0,0.9584,487.0,93.1,pricing verification was completed because store traffic is stable.,107.44,70.28,,0,AUTO_PASS
6,2023-01-03,293,26.63,0.8235,221.0,1.0031,551.0,73.37,pricing verification was completed because store traffic is stable.,107.5,70.25,,0,AUTO_PASS
7,2023-01-03,489,2.99,1.0011,161.0,1.0355,466.0,97.01,pricing verification was completed because store traffic is stable.,107.56,70.22,,0,AUTO_PASS
8,2023-01-03,543,10.53,0.9448,150.0,0.9918,496.0,89.47,shift handover is complete and stock information is consistent.,107.62,70.19,,0,AUTO_PASS
9,2023-01-03,362,,0.8156,227.0,0.975,398.0,,inventory update is complete and promotion status is approved.,107.68,70.16,,0,AUTO_PASS
10,2023-01-03,289,,1.0585,219.0,0.9715,352.0,,inventory update is complete and promotion status is approved.,107.74,70.13,,0,AUTO_PASS
11,2023-01-03,664,19.52,1.0835,188.0,1.0578,391.0,80.48,manual check is complete and discount application is confirmed.,107.8,70.1,,0,AUTO_PASS
12,2023-01-03,490,3.91,0.9312,223.0,1.0012,448.0,96.09,manual check are complete and discount application is confirmed.,107.86,70.07,,0,AUTO_PASS
13,2023-01-03,586,13.14,1.136,304.0,0.9575,256.0,86.86,pricing verification was completed because store traffic is stable.,107.92,70.04,,0,AUTO_PASS
14,2023-01-03,687,7.0,0.9901,260.0,1.014,372.0,93.0,manual check is complete and discount application is confirmed.,107.98,70.01,,0,AUTO_PASS
15,2023-01-03,516,6.45,1.0854,165.0,1.0046,513.0,93.55,pricing verification was completed because store traffic is stable.,108.04,69.98,,0,AUTO_PASS
16,2023-01-03,630,12.47,1.0274,200.0,1.0103,651.0,87.53,pricing verification was completed because store traffic is stable.,108.1,69.95,,0,AUTO_PASS
17,2023-01-03,540,14.86,0.8772,214.0,0.9969,327.0,85.14,shift handover is complete and stock information is consistent.,108.16,69.92,,0,AUTO_PASS
18,2023-01-03,555,7.22,,274.0,1.0148,414.0,92.78,pricing verification was completed because store traffic is stable.,108.22,69.89,,0,AUTO_PASS
19,2023-01-03,476,39.87,0.9596,372.0,1.0058,237.0,60.13,pricing verification was completed because store traffic is stable.,108.28,69.86,,1,MANUAL_REVIEW
20,2023-01-03,424,10.0,0.9745,193.0,0.9603,561.0,90.0,manual check is complete and discount application is confirmed.,108.34,69.83,,0,AUTO_PASS
21,2023-01-03,385,18.82,0.9362,152.0,0.9889,407.0,81.18,shift handover is complete and stock information is consistent.,108.4,69.8,,0,AUTO_PASS
22,2023-01-03,285,12.7,1.1353,351.0,1.014,741.0,87.3,inventory update is complete and promotion status is approved.,108.46,69.77,,0,AUTO_PASS
23,2023-01-03,524,39.27,0.9823,156.0,1.0028,498.0,60.73,shift handover is complete and stock information is consistent.,108.52,69.74,,0,AUTO_PASS
24,2023-01-03,776,17.65,0.9576,178.0,0.9795,428.0,82.35,pricing verification was completed because store traffic is stable.,108.58,69.71,,0,AUTO_PASS
25,2023-01-03,340,20.0,0.9672,288.0,1.0274,386.0,80.0,shift handover is complete and stock information is consistent.,108.64,69.68,,0,AUTO_PASS
26,2023-01-03,378,13.54,1.0779,274.0,1.0352,382.0,86.46000000000001,manual check is complete and discount application is confirmed.,108.7,69.65,,0,AUTO_PASS
27,2023-01-03,399,10.85,1.0153,277.0,0.9823,427.0,89.15,shift handover is complete and stock information is consistent.,108.76,69.62,,0,AUTO_PASS
28,2023-01-03,452,17.24,1.0716,218.0,1.0477,489.0,82.76,shift handover is complete and stock information is consistent.,108.82,69.59,,0,AUTO_PASS
29,2023-01-03,283,,0.8812,224.0,1.0204,576.0,,inventory update is complete and promotion status is approved.,108.88,69.56,,0,AUTO_PASS
30,2023-01-03,486,18.06,1.1457,238.0,1.0148,428.0,81.94,shift handover is complete and stock information is consistent.,108.94,69.53,,0,AUTO_PASS
31,2023-01-03,493,18.32,0.939,130.0,0.9972,192.0,81.68,shift handover is complete and stock information is consistent.,109.0,69.5,,0,AUTO_PASS
32,2023-01-03,319,,0.9114,278.0,1.0404,540.0,,shift handover is complete and stock information is consistent.,109.06,69.47,,0,AUTO_PASS
33,2023-01-03,563,0.21,0.9787,178.0,1.0247,520.0,99.79,manual check is complete and discount application is confirmed.,109.12,69.44,,0,AUTO_PASS
34,2023-01-03,537,4.9,0.8726,152.0,1.0083,540.0,95.1,shift handover is complete and stock information is consistent.,109.18,69.41,,0,AUTO_PASS
35,2023-01-03,454,11.62,1.0738,341.0,0.998,405.0,88.38,shift handover is complete and stock information is consistent.,109.24,69.38,,0,AUTO_PASS
36,2023-01-03,605,13.77,1.0464,228.0,1.0045,408.0,86.23,manual check are complete and discount application is confirmed.,109.3,69.35,,0,AUTO_PASS
37,2023-01-03,497,24.43,0.985,324.0,0.9888,445.0,75.57,shift handover is complete and stock information is consistent.,109.36,69.32,,0,AUTO_PASS
38,2023-01-03,645,17.53,0.9851,156.0,1.0096,478.0,82.47,shift handover is complete and stock information is consistent.,109.42,69.29,,0,AUTO_PASS
39,2023-01-03,440,18.84,1.0188,241.0,0.9921,496.0,81.16,manual check is complete and discount application is confirmed.,109.48,69.26,,0,AUTO_PASS
40,2023-01-03,518,5.83,0.9455,210.0,1.009,503.0,94.17,pricing verification was completed because store traffic is stable.,109.54,69.23,,0,AUTO_PASS
41,2023-01-03,441,4.2,1.0567,305.0,0.9972,556.0,95.8,inventory update is complete and promotion status is approved.,109.6,69.2,,0,AUTO_PASS
42,2023-01-03,773,24.11,1.0059,222.0,1.003,633.0,75.89,pricing verification was completed because store traffic is stable.,109.66,69.17,,0,AUTO_PASS
43,2023-01-03,490,12.42,0.942,246.0,0.9869,465.0,87.58,pricing verification was completed because store traffic is stable.,109.72,69.14,,0,AUTO_PASS
44,2023-01-03,484,2.54,0.9275,273.0,1.0055,630.0,97.46,inventory update is complete and promotion status is approved.,109.78,69.11,,0,AUTO_PASS
45,2023-01-03,599,21.6,,250.0,1.0292,644.0,78.4,manual check is complete and discount application is confirmed.,109.84,69.08,,0,AUTO_PASS
46,2023-01-03,567,12.31,0.894,210.0,1.0039,211.0,87.69,pricing verification was completed because store traffic is stable.,109.9,69.05,,0,AUTO_PASS
47,2023-01-03,259,,0.9882,110.0,1.0048,517.0,,shift handover is complete and stock information is consistent.,109.96,69.02,,0,AUTO_PASS
48,2023-01-03,295,,0.9534,250.0,0.9759,518.0,,manual check is complete and discount application is confirmed.,110.02,68.99,,0,AUTO_PASS
49,2023-01-03,567,25.99,1.0353,344.0,1.0297,379.0,74.01,manual check is complete and discount application is confirmed.,110.08,68.96,,0,AUTO_PASS
50,2023-01-03,447,23.06,0.8092,132.0,1.0112,479.0,76.94,inventory update is complete and promotion status is approved.,110.14,68.93,,0,AUTO_PASS
51,2023-01-03,-393,,1.0796,303.0,0.9864,489.0,,manual check is complete and discount application is confirmed.,110.2,68.9,,0,AUTO_PASS
52,2023-01-03,641,46.6,0.9504,327.0,1.0301,529.0,53.4,inventory update is complete and promotion status is approved.,110.26,68.87,,0,AUTO_PASS
53,2023-01-03,542,4.88,1.0962,315.0,1.0056,496.0,95.12,inventory update is complete and promotion status is approved.,110.32,68.84,,0,AUTO_PASS
54,2023-01-03,619,18.16,1.0177,254.0,0.9918,543.0,81.84,shift handover is complete and stock information is consistent.,110.38,68.81,,0,AUTO_PASS
55,2023-01-03,392,9.83,0.9868,232.0,1.0128,432.0,90.17,inventory update is complete and promotion status is approved.,110.44,68.78,,0,AUTO_PASS
56,2023-01-03,691,5.43,0.9478,253.0,1.0071,499.0,94.57,inventory update is complete and promotion status is approved.,110.5,68.75,,0,AUTO_PASS
57,2023-01-03,516,15.15,1.0949,355.0,1.0031,531.0,84.85,manual check is complete and discount application is confirmed.,110.56,68.72,,0,AUTO_PASS
58,2023-01-03,453,18.19,1.0486,368.0,1.0045,419.0,81.81,manual check is complete and discount application is confirmed.,110.62,68.69,,0,AUTO_PASS
59,2023-01-03,478,7.09,0.9245,156.0,0.9798,599.0,92.91,shift handover is complete and stock information is consistent.,110.68,68.66,,0,AUTO_PASS
60,2023-01-03,550,6.04,1.1693,256.0,1.0067,608.0,93.96,pricing verification was completed because store traffic is stable.,110.74,68.63,,0,AUTO_PASS
1,2023-01-04,433,14.5,0.8655,270.0,0.9931,528.0,85.5,manual check is complete and discount application is confirmed.,110.8,68.6,,0,AUTO_PASS
2,2023-01-04,574,13.84,1.0217,294.0,1.0004,416.0,86.16,shift handover is complete and stock information is consistent.,110.86,68.57,,0,AUTO_PASS
3,2023-01-04,218,,1.004,249.0,1.007,403.0,,manual check is complete and discount application is confirmed.,110.92,68.54,,0,AUTO_PASS
4,2023-01-04,441,15.09,1.035,209.0,0.992,572.0,84.91,shift handover is complete and stock information is consistent.,110.98,68.51,,0,AUTO_PASS
5,2023-01-04,487,6.68,1.1312,285.0,0.986,406.0,93.32,manual check is complete and discount application is confirmed.,111.04,68.48,,0,AUTO_PASS
6,2023-01-04,551,18.88,1.0852,224.0,0.9884,271.0,81.12,shift handover is complete and stock information is consistent.,111.1,68.45,,0,AUTO_PASS
