property_id,gr_liv_area,lot_area,year_built,overall_qual,garage_area,total_bsmt_sf,ms_zoning,neighborhood,sale_price,gr_liv_area_m2,total_enclosed_area_sqft,total_enclosed_area_m2,inspection_note,has_premium_finish,premium_finish_note,property_taxonomy_flat,lot_area_reported,reported_max_loan,record_extract_month
24,628.0,6174.0,1936,5,106.0,869.0,FV,CollgCr,176663.0,58.3431,1603.0,148.9236,lot area verification is complete because documents are available.,0,,FV>CollgCr,6174.0,158997.0,2024-01
25,2047.0,11460.0,1912,8,353.0,1188.0,RM,NridgHt,291036.0,190.1725,3588.0,333.3361,property inspection are complete and garage area is measured.,1,verified,RM>NridgHt,11460.0,261932.0,2024-01
26,1499.0,3660.0,1944,8,585.0,958.0,RH,CollgCr,242962.0,139.2617,3042.0,282.611,zoning verification is complete and neighborhood information is confirmed.,1,verified,RH>CollgCr,340.02,218666.0,2024-01
27,1329.0,8617.0,1935,4,385.0,1248.0,FV,Edwards,174832.0,123.4681,2962.0,275.1788,lot area verification is complete because documents are available.,0,,FV>Edwards,8617.0,157349.0,2024-01
28,2119.0,9728.0,1926,6,374.0,1037.0,RH,NridgHt,258733.0,196.8615,3530.0,327.9477,property inspection are complete and garage area is measured.,0,,RH>NridgHt,9728.0,232860.0,2024-01
29,2211.0,13836.0,1990,2,515.0,458.0,RL,OldTown,279013.0,205.4086,3184.0,295.8033,property inspection is complete and garage area is measured.,0,,RL>OldTown,13836.0,251112.0,2024-01
30,1691.0,13969.0,1933,6,548.0,1067.0,FV,Edwards,257461.0,157.099,3306.0,307.1375,property inspection is complete and garage area is measured.,0,,FV>Edwards,1297.76,231715.0,2024-01
31,1816.0,10525.0,1955,3,376.0,1073.0,FV,Somerst,243533.0,168.7119,3265.0,303.3284,sale condition was reviewed and valuation status is approved.,0,,FV>Somerst,977.8,219180.0,2024-01
32,450.0,14007.0,2001,6,640.0,1008.0,FV,OldTown,135849.0,41.8064,2098.0,194.9106,lot area verification is complete because documents are available.,0,,FV>OldTown,14007.0,122264.0,2024-01
33,2001.0,7976.0,1899,9,552.0,768.0,FV,OldTown,300027.0,185.899,3321.0,308.531,lot area verification is complete because documents are available.,1,verified,FV>OldTown,7976.0,270024.0,2024-01
34,950.0,14735.0,1915,4,509.0,527.0,RH,Edwards,169673.0,88.2579,1986.0,184.5054,property inspection is complete and garage area is measured.,0,,RH>Edwards,14735.0,152706.0,2024-01
35,1335.0,14218.0,1919,5,577.0,1386.0,RM,NAmes,242019.0,124.0256,3298.0,306.3942,zoning verification is complete and neighborhood information is confirmed.,0,,RM>NAmes,14218.0,217817.0,2024-01
36,1003.0,11563.0,1930,8,370.0,1290.0,RH,OldTown,200512.0,93.1817,2663.0,247.4008,zoning verification is complete and neighborhood information is confirmed.,1,verified,RH>OldTown,1074.24,180461.0,2024-01
37,1318.0,13331.0,1947,9,393.0,895.0,RL,Edwards,264896.0,122.4462,2606.0,242.1053,lot area verification is complete because documents are available.,1,verified,RL>Edwards,13331.0,238406.0,2024-01
38,1883.0,8429.0,1985,5,301.0,472.0,RH,CollgCr,258220.0,174.9364,2656.0,246.7505,sale condition was reviewed and valuation status is approved.,0,,RH>CollgCr,8429.0,232398.0,2024-01
39,2395.0,10727.0,1965,9,468.0,1264.0,RL,NAmes,369387.0,222.5028,4127.0,383.4108,lot area verification is complete because documents are available.,1,verified,RL>NAmes,10727.0,332448.0,2024-01
40,909.0,14477.0,1988,7,188.0,734.0,FV,NAmes,208581.0,84.4489,1831.0,170.1055,zoning verification is complete and neighborhood information is confirmed.,0,,FV>NAmes,14477.0,187723.0,2024-01
41,1859.0,11195.0,2002,8,513.0,486.0,RM,NridgHt,309220.0,172.7068,2858.0,265.5169,zoning verification is complete and neighborhood information is confirmed.,1,verified,RM>NridgHt,11195.0,278298.0,2024-01
42,1579.0,,1924,3,420.0,1270.0,FV,NridgHt,220826.0,146.6939,3269.0,303.7,zoning verification is complete and neighborhood information is confirmed.,0,,FV>NridgHt,873.01,198743.0,2024-01
43,1902.0,11306.0,1898,3,,807.0,RM,NAmes,293608.0,176.7016,3214.0,298.5904,property inspection is complete and garage area is measured.,0,,RM>NAmes,11306.0,264247.0,2024-01
44,1194.0,0.0,1902,8,300.0,1503.0,RL,Somerst,210445.0,110.9262,2997.0,278.4304,lot area verification is complete because documents are available.,1,verified,RL>Somerst,3730.0,189400.0,2024-01
45,1815.0,12003.0,1916,9,571.0,1163.0,FV,OldTown,,168.619,3549.0,329.7129,property inspection is complete and garage area is measured.,1,verified,FV>OldTown,1115.11,248629.0,2024-01
46,1238.0,6389.0,2009,5,412.0,594.0,RL,CollgCr,223340.0,115.014,2244.0,208.4744,zoning verification is complete and neighborhood information is confirmed.,0,,RL>CollgCr,593.56,201006.0,2024-01
47,2048.0,4971.0,1930,2,515.0,766.0,RM,Edwards,226456.0,190.2654,3329.0,309.2742,sale condition were reviewed and valuation status is aproved.,0,,RM>Edwards,4971.0,203810.0,2024-01
48,1685.0,9912.0,1963,5,733.0,887.0,RH,NAmes,241130.0,156.5416,3305.0,307.0445,zoning verification is complete and neighborhood information is confirmed.,0,,RH>NAmes,9912.0,217017.0,2024-01
49,2376.0,13933.0,1992,2,793.0,1497.0,FV,Somerst,,220.7376,4666.0,433.4856,property inspection is complete and garage area is measured.,0,,FV>Somerst,13933.0,285347.0,2024-01
50,1091.0,9048.0,1968,8,273.0,813.0,FV,OldTown,188758.0,101.3572,2177.0,202.2499,zoning verification is complete and neighborhood information is confirmed.,1,verified,FV>OldTown,9048.0,169882.0,2024-01
51,1788.0,11014.0,1935,4,447.0,1429.0,RM,OldTown,248432.0,166.1106,3664.0,340.3967,property inspection is complete and garage area is measured.,0,,RM>OldTown,11014.0,223589.0,2024-01
52,1164.0,12305.0,1946,8,487.0,964.0,FV,Somerst,232163.0,108.1391,2615.0,242.9414,property inspection is complete and garage area is measured.,1,verified,FV>Somerst,12305.0,208947.0,2024-01
53,1776.0,10992.0,1920,4,,859.0,RH,CollgCr,232525.0,164.9958,3146.0,292.273,zoning verification is complete and neighborhood information is confirmed.,0,,RH>CollgCr,1021.19,209272.0,2024-01
54,1738.0,11683.0,1969,8,229.0,0.0,RL,OldTown,250878.0,161.4655,1967.0,182.7403,property inspection is complete and garage area is measured.,1,verified,RL>OldTown,11683.0,225790.0,2024-01
55,1565.0,9398.0,1893,4,532.0,903.0,RH,NAmes,227200.0,145.3933,3000.0,278.7091,zoning verification is complete and neighborhood information is confirmed.,0,,RH>NAmes,9398.0,204480.0,2024-01
56,1555.0,7839.0,1980,2,386.0,658.0,RM,OldTown,205940.0,144.4642,2599.0,241.455,property inspection is complete and garage area is measured.,0,,RM>OldTown,7839.0,185346.0,2024-01
57,2273.0,10801.0,1986,4,545.0,1390.0,RM,NAmes,,211.1686,4208.0,390.936,sale condition was reviewed and valuation status is approved.,0,,RM>NAmes,10801.0,263551.0,2024-01
58,1662.0,15112.0,1940,2,236.0,1923.0,RM,NAmes,220817.0,154.4049,3821.0,354.9825,sale condition was reviewed and valuation status is approved.,0,,RM>NAmes,15112.0,198735.0,2024-01
59,1710.0,8205.0,1965,5,746.0,1355.0,RL,NridgHt,246107.0,158.8642,3811.0,354.0535,sale condition was reviewed and valuation status is approved.,0,,RL>NridgHt,8205.0,221496.0,2024-01
60,1442.0,10125.0,1960,6,603.0,1268.0,RM,NridgHt,241157.0,133.9662,3313.0,307.7878,sale condition was reviewed and valuation status is approved.,0,,RM>NridgHt,10125.0,217041.0,2024-01
61,1892.0,,1973,5,438.0,1104.0,RM,CollgCr,259326.0,175.7726,3434.0,319.029,property inspection is complete and garage area is measured.,0,,RM>CollgCr,858.98,233393.0,2024-01
62,1542.0,18417.0,1918,2,594.0,935.0,FV,Somerst,217668.0,143.2565,3071.0,285.3052,zoning verfication is complete and neighborhood information is confirmed.,0,,FV>Somerst,18417.0,195901.0,2024-01
63,2092.0,14226.0,1998,4,520.0,1169.0,RM,CollgCr,221514.0,194.3532,3781.0,351.2664,lot area verification is complete because documents are available.,0,,RM>CollgCr,14226.0,199363.0,2024-01
64,1512.0,8486.0,1926,7,419.0,607.0,RL,Somerst,208581.0,140.4694,2538.0,235.7879,sale condition was reviewed and valuation status is approved.,0,,RL>Somerst,8486.0,187723.0,2024-01
65,1569.0,2000.0,1921,2,,866.0,RM,NAmes,190539.0,145.7649,2814.0,261.4292,sale condition was reviewed and valuation status is approved.,0,,RM>NAmes,2000.0,171485.0,2024-01
66,1615.0,12532.0,1899,8,405.0,816.0,RL,Edwards,,150.0384,2836.0,263.473,sale condition were reviewed and valuation stauts is approved.,1,verified,RL>Edwards,12532.0,287262.0,2024-01
67,888.0,8293.0,1976,7,623.0,581.0,FV,NridgHt,185621.0,82.4979,2092.0,194.3532,lot area verification is complete because documents are available.,0,,FV>NridgHt,8293.0,167059.0,2024-01
68,770.0,2141.0,1901,5,733.0,1179.0,FV,Somerst,138540.0,71.5353,2682.0,249.166,property inspection is complete and garage area is measured.,0,,FV>Somerst,2141.0,124686.0,2024-01
69,1822.0,8005.0,1946,5,277.0,1181.0,RM,CollgCr,256267.0,169.2693,3280.0,304.722,sale condition was reviewed and valuation status is approved.,0,,RM>CollgCr,743.69,230640.0,2024-01
70,1159.0,15872.0,1986,3,132.0,723.0,RH,NridgHt,196308.0,107.6746,2014.0,187.1067,zoning verification is complete and neighborhood information is confirmed.,0,,RH>NridgHt,15872.0,176677.0,2024-01
71,1401.0,12071.0,1967,3,695.0,777.0,RL,Edwards,204208.0,130.1572,2873.0,266.9104,sale condition was reviewed and valuation status is approved.,0,,RL>Edwards,12071.0,183787.0,2024-01
72,1477.0,8179.0,1988,7,405.0,1175.0,FV,CollgCr,244146.0,137.2178,3057.0,284.0046,lot area verification is complete because documents are available.,0,,FV>CollgCr,8179.0,219731.0,2024-01
73,1526.0,10896.0,1902,3,427.0,798.0,FV,NAmes,243065.0,141.77,2751.0,255.5763,property inspection is complete and garage area is measured.,0,,FV>NAmes,10896.0,218758.0,2024-01
74,961.0,11041.0,2004,5,156.0,778.0,RL,NAmes,158094.0,89.2798,1895.0,176.0513,zoning verification is complete and neighborhood information is confirmed.,0,,RL>NAmes,11041.0,142285.0,2024-01
75,970.0,13746.0,1945,2,513.0,1117.0,RL,OldTown,177594.0,90.1159,2600.0,241.5479,sale condition was reviewed and valuation status is approved.,0,,RL>OldTown,1277.04,159835.0,2024-01
76,1389.0,11458.0,1990,6,105.0,1308.0,FV,OldTown,178874.0,129.0423,2802.0,260.3143,lot area verification is complete because documents are available.,0,,FV>OldTown,1064.48,160987.0,2024-01
77,1404.0,12132.0,1962,4,755.0,1330.0,FV,CollgCr,210156.0,130.4359,3489.0,324.1387,zoning verification is complete and neighborhood information is confirmed.,0,,FV>CollgCr,12132.0,189140.0,2024-01
78,1824.0,7601.0,1945,9,304.0,827.0,RH,CollgCr,282527.0,169.4551,2955.0,274.5285,property inspection is complete and garage area is measured.,1,verified,RH>CollgCr,7601.0,254274.0,2024-01
79,1430.0,12387.0,1907,8,566.0,1016.0,FV,NAmes,,132.8513,3012.0,279.824,lot area verification is complete because documents are available.,1,verified,FV>NAmes,12387.0,253518.0,2024-01
80,1771.0,2000.0,1901,5,,801.0,RM,CollgCr,255092.0,164.5313,3048.0,283.1685,property inspection is complete and garage area is measured.,0,,RM>CollgCr,2000.0,229583.0,2024-01
81,1330.0,14933.0,1959,9,646.0,853.0,RM,Edwards,260622.0,123.561,2829.0,262.8227,property inspection is complete and garage area is measured.,1,verified,RM>Edwards,14933.0,234560.0,2024-01
82,2038.0,8339.0,1995,9,348.0,1471.0,FV,Edwards,,189.3364,3857.0,358.327,property inspection are complete and garage area is measured.,1,verified,FV>Edwards,8339.0,270450.0,2024-01
83,1913.0,12868.0,1910,9,283.0,982.0,FV,CollgCr,,177.7235,3178.0,295.2459,lot area verification is complete because documents are available.,1,verified,FV>CollgCr,12868.0,267181.0,2024-01
84,1554.0,10402.0,1912,7,,737.0,RL,OldTown,261465.0,144.3713,3140.0,291.7155,sale condition was reviewed and valuation status is approved.,0,,RL>OldTown,10402.0,235318.0,2024-01
85,862.0,3136.0,1948,6,195.0,657.0,FV,NridgHt,145848.0,80.0824,1714.0,159.2358,lot area verification is complete because documents are available.,0,,FV>NridgHt,291.34,131263.0,2024-01
86,1035.0,4658.0,1961,4,570.0,978.0,RH,Edwards,170697.0,96.1546,2583.0,239.9686,zoning verification is complete and neighborhood information is confirmed.,0,,RH>Edwards,4658.0,153627.0,2024-01
87,1694.0,13156.0,1896,6,304.0,1054.0,RH,NridgHt,251110.0,157.3777,3052.0,283.5401,zoning verification is complete and neighborhood information is confirmed.,0,,RH>NridgHt,13156.0,225999.0,2024-01
88,1733.0,8791.0,2000,8,186.0,698.0,FV,Somerst,298947.0,161.001,2617.0,243.1273,zoning verification is complete and neighborhood information is confirmed.,1,verified,FV>Somerst,8791.0,269052.0,2024-01
89,829.0,6062.0,1930,9,452.0,795.0,RM,Edwards,225351.0,77.0166,2076.0,192.8667,sale condition were reviewed and valuation status is aproved.,1,verified,RM>Edwards,6062.0,202816.0,2024-01
90,1693.0,11910.0,1910,3,556.0,1151.0,RH,Somerst,260351.0,157.2848,3400.0,315.8703,sale condition was reviewed and valuation status is approved.,0,,RH>Somerst,1106.47,234316.0,2024-01
91,1730.0,12107.0,1950,3,242.0,644.0,FV,NridgHt,198001.0,160.7223,2616.0,243.0344,sale condition was reviewed and valuation status is approved.,0,,FV>NridgHt,12107.0,178201.0,2024-01
92,2664.0,8767.0,1956,3,483.0,566.0,RL,Edwards,,247.4937,3713.0,344.949,zoning verification is complete and neighborhood information is confirmed.,0,,RL>Edwards,814.48,307058.0,2024-01
93,1533.0,14104.0,1958,5,326.0,1201.0,RH,NAmes,231028.0,142.4204,3060.0,284.2833,lot area verification is complete because documents are available.,0,,RH>NAmes,14104.0,207925.0,2024-01
94,1840.0,6080.0,1937,4,473.0,606.0,RL,Somerst,,170.9416,2919.0,271.184,property inspection is complete and garage area is measured.,0,,RL>Somerst,6080.0,248320.0,2024-01
95,873.0,8065.0,1981,5,792.0,645.0,RM,Edwards,172375.0,81.1044,2310.0,214.606,zoning verification is complete and neighborhood information is confirmed.,0,,RM>Edwards,8065.0,155138.0,2024-01
96,1379.0,,1899,2,,1162.0,FV,NAmes,164044.0,128.1133,2986.0,277.4085,sale condition was reviewed and valuation status is approved.,0,,FV>NAmes,7723.0,147640.0,2024-01
97,1229.0,17538.0,1974,9,729.0,1525.0,RL,Edwards,230130.0,114.1778,3483.0,323.5813,zoning verification is complete and neighborhood information is confirmed.,1,verified,RL>Edwards,17538.0,207117.0,2024-01
98,1886.0,5910.0,1919,6,,26.0,RH,Somerst,233500.0,175.2151,2138.0,198.6267,sale condition was reviewed and valuation status is approved.,0,,RH>Somerst,5910.0,210150.0,2024-01
99,1635.0,13084.0,1908,4,444.0,1313.0,RM,NAmes,230118.0,151.8965,3392.0,315.1271,lot area verification is complete because documents are available.,0,,RM>NAmes,13084.0,207106.0,2024-01
100,1200.0,14354.0,1919,5,447.0,1049.0,RM,NAmes,192566.0,111.4836,2696.0,250.4666,sale condition was reviewed and valuation status is approved.,0,,RM>NAmes,14354.0,173309.0,2024-01
101,1157.0,8837.0,1943,5,726.0,748.0,RL,NAmes,196380.0,107.4888,2631.0,244.4279,lot area verification is complete because documents are available.,0,,RL>NAmes,8837.0,176742.0,2024-01
102,1779.0,8383.0,1993,6,644.0,452.0,RL,NAmes,266997.0,165.2745,2875.0,267.0962,sale condition was reviewed and valuation status is approved.,0,,RL>NAmes,8383.0,240297.0,2024-01
103,2121.0,17351.0,1914,5,,713.0,RL,NridgHt,,197.0473,3243.0,301.2846,lot area verification is complete because documents are available.,0,,RL>NridgHt,1611.96,276035.0,2024-01
104,2149.0,9725.0,1910,6,,901.0,FV,OldTown,277815.0,199.6486,3669.0,340.8613,lot area verification is complete because documents are available.,0,,FV>OldTown,903.48,250034.0,2024-01
105,1257.0,12377.0,1890,5,561.0,1270.0,RH,CollgCr,202002.0,116.7791,3088.0,286.8846,lot area verification is complete because documents are available.,0,,RH>CollgCr,12377.0,181802.0,2024-01
106,1527.0,12701.0,2006,2,337.0,595.0,FV,NridgHt,217480.0,141.8629,2459.0,228.4486,property inspection is complete and garage area is measured.,0,,FV>NridgHt,12701.0,195732.0,2024-01
107,1937.0,7835.0,1943,2,349.0,842.0,FV,Somerst,227797.0,179.9532,3128.0,290.6007,zoning verification is complete and neighborhood information is confirmed.,0,,FV>Somerst,7835.0,205017.0,2024-01
108,1043.0,5986.0,1973,3,363.0,915.0,RM,Edwards,169299.0,96.8979,2321.0,215.628,property inspection is complete and garage area is measured.,0,,RM>Edwards,5986.0,152369.0,2024-01
109,1943.0,6756.0,1918,9,665.0,1242.0,FV,Edwards,337718.0,180.5106,3850.0,357.6767,lot area verification is complete because documents are available.,1,verified,FV>Edwards,6756.0,303946.0,2024-01
110,1176.0,0.0,1959,3,570.0,291.0,FV,NridgHt,211348.0,109.254,2037.0,189.2435,sale condition was reviewed and valuation status is approved.,0,,FV>NridgHt,4275.0,190213.0,2024-01
111,1170.0,13706.0,2050,2,547.0,972.0,RL,NridgHt,165435.0,108.6966,2689.0,249.8163,sale condition was reviewed and valuation status is approved.,0,,RL>NridgHt,13706.0,148892.0,2024-01
112,1126.0,3213.0,1895,7,766.0,1005.0,RL,NAmes,222984.0,104.6088,2897.0,269.1401,property inspection is complete and garage area is measured.,0,,RL>NAmes,3213.0,200686.0,2024-01
113,1569.0,10690.0,1927,5,403.0,1455.0,RL,CollgCr,221262.0,145.7649,3427.0,318.3787,sale condition was reviewed and valuation status is approved.,0,,RL>CollgCr,10690.0,199136.0,2024-01
114,1424.0,14820.0,1990,9,221.0,960.0,RL,Edwards,250254.0,132.2939,2605.0,242.0124,zoning verification is complete and neighborhood information is confirmed.,1,verified,RL>Edwards,14820.0,225229.0,2024-01
115,1688.0,2000.0,1954,3,713.0,556.0,RL,NAmes,209851.0,156.8203,2957.0,274.7143,property inspection is complete and garage area is measured.,0,,RL>NAmes,185.81,188866.0,2024-01
116,1539.0,5058.0,1890,2,601.0,655.0,RM,CollgCr,224193.0,142.9778,2795.0,259.664,zoning verification is complete and neighborhood information is confirmed.,0,,RM>CollgCr,5058.0,201774.0,2024-01
117,1763.0,6474.0,1960,2,133.0,537.0,RH,Somerst,215808.0,163.7881,2433.0,226.0331,sale condition was reviewed and valuation status is approved.,0,,RH>Somerst,6474.0,194227.0,2024-01
118,1575.0,13254.0,2006,3,598.0,478.0,RL,Edwards,226188.0,146.3223,2651.0,246.286,property inspection is complete and garage area is measured.,0,,RL>Edwards,13254.0,203569.0,2024-01
119,1152.0,13506.0,1933,9,173.0,582.0,RM,NAmes,212853.0,107.0243,1907.0,177.1661,sale condition was reviewed and valuation status is approved.,1,verified,RM>NAmes,13506.0,191568.0,2024-01
120,524.0,8234.0,1914,6,229.0,0.0,RM,OldTown,119925.0,48.6812,753.0,69.956,property inspection is complete and garage area is measured.,0,,RM>OldTown,8234.0,107932.0,2024-01
121,1251.0,14509.0,1929,4,582.0,1171.0,RM,Somerst,223512.0,116.2217,3004.0,279.0807,sale condition was reviewed and valuation status is approved.,0,,RM>Somerst,1347.93,201161.0,2024-01
122,1919.0,10195.0,1907,9,,725.0,RL,NridgHt,,178.2809,3414.0,317.171,lot area verification is complete because documents are available.,1,verified,RL>NridgHt,10195.0,296765.0,2024-01
123,1390.0,11033.0,1911,2,799.0,1171.0,FV,Somerst,193322.0,129.1352,3360.0,312.1542,zoning verification is complete and neighborhood information is confirmed.,0,,FV>Somerst,1025.0,173990.0,2024-01
124,2079.0,10233.0,1957,2,340.0,1144.0,RH,NridgHt,282901.0,193.1454,3563.0,331.0135,property inspection is complete and garage area is measured.,0,,RH>NridgHt,10233.0,254611.0,2024-01
125,1543.0,13856.0,1943,7,500.0,840.0,RH,Edwards,258329.0,143.3494,2883.0,267.8395,sale condition was reviewed and valuation status is approved.,0,,RH>Edwards,13856.0,232496.0,2024-01
126,1795.0,12765.0,1904,5,581.0,652.0,FV,CollgCr,239849.0,166.761,3028.0,281.3104,zoning verification is complete and neighborhood information is confirmed.,0,,FV>CollgCr,1185.91,215864.0,2024-01
127,1885.0,10879.0,1956,9,451.0,1266.0,FV,Somerst,280128.0,175.1222,3602.0,334.6368,sale condition was reviewed and valuation status is approved.,1,verified,FV>Somerst,10879.0,252115.0,2024-01
128,1400.0,3701.0,1895,8,270.0,430.0,FV,OldTown,235013.0,130.0643,2100.0,195.0964,lot area verification is complete because documents are available.,1,verified,FV>OldTown,343.83,211512.0,2024-01
129,1802.0,13320.0,1973,4,141.0,769.0,RM,NridgHt,209743.0,167.4113,2712.0,251.953,zoning verification is complete and neighborhood information is confirmed.,0,,RM>NridgHt,13320.0,188769.0,2024-01
130,1424.0,13597.0,2006,5,357.0,791.0,RM,Edwards,218742.0,132.2939,2572.0,238.9466,zoning verification is complete and neighborhood information is confirmed.,0,,RM>Edwards,13597.0,196868.0,2024-01
131,1575.0,10686.0,1948,9,513.0,831.0,RH,NridgHt,289739.0,146.3223,2919.0,271.184,property inspection are complete and garage area is measured.,1,verified,RH>NridgHt,10686.0,260765.0,2024-01
132,2015.0,14844.0,1970,6,368.0,578.0,RH,Edwards,266609.0,187.1996,2961.0,275.0859,sale condition was reviewed and valuation status is approved.,0,,RH>Edwards,14844.0,239948.0,2024-01
133,1289.0,12585.0,1937,5,838.0,726.0,FV,Edwards,186597.0,119.752,2853.0,265.0524,sale condition was reviewed and valuation status is approved.,0,,FV>Edwards,12585.0,167937.0,2024-01
134,931.0,10678.0,1959,2,549.0,1098.0,FV,NAmes,142322.0,86.4927,2578.0,239.504,property inspection is complete and garage area is measured.,0,,FV>NAmes,992.02,128090.0,2024-01
135,1281.0,13571.0,1913,6,,1282.0,RM,Edwards,252024.0,119.0088,3171.0,294.5955,property inspection are complete and garage area is measured.,0,,RM>Edwards,13571.0,226822.0,2024-01
136,1059.0,7184.0,1898,3,414.0,840.0,RL,NridgHt,172297.0,98.3843,2313.0,214.8847,sale condition was reviewed and valuation status is approved.,0,,RL>NridgHt,667.42,155067.0,2024-01
137,787.0,11512.0,1962,3,646.0,874.0,FV,CollgCr,143502.0,73.1147,2307.0,214.3273,zoning verification is complete and neighborhood information is confirmed.,0,,FV>CollgCr,11512.0,129152.0,2024-01
138,2194.0,12191.0,1951,8,593.0,1182.0,FV,CollgCr,332298.0,203.8293,3969.0,368.7322,sale condition was reviewed and valuation status is approved.,1,verified,FV>CollgCr,1132.58,299068.0,2024-01
139,1664.0,15488.0,1899,4,426.0,1064.0,RL,CollgCr,261770.0,154.5907,3154.0,293.0162,lot area verification is complete because documents are available.,0,,RL>CollgCr,15488.0,235593.0,2024-01
140,1335.0,8032.0,1992,7,154.0,1397.0,RH,OldTown,239458.0,124.0256,2886.0,268.1182,property inspection is complete and garage area is measured.,0,,RH>OldTown,8032.0,215512.0,2024-01
